旧色,token,归类,出现次数,ΔL*
#486b9a,--x-n41,brand→neutral,1,3.54
#eef3fb,--x-pine-96,brand→pine,1,0.23
#29705e,--x-pine-44,pine,1,1.41
#eaf7f2,--x-pine-96,pine,1,0.26
#936a3f,--x-warn-51,warn,1,2.8
#fbf2e8,--x-warn-96,warn,1,0.32
#f2f3f5,--x-n96,neutral,1,0.1
#4f786e,--x-n50,neutral,1,2.74
#55aa8f,--x-pine-58,pine,1,5.73
#966f65,--x-n50,neutral,1,0.44
#f8efed,--x-cinnabar-96,cinnabar,1,1.5
#ba7b6b,--x-cinnabar-58,cinnabar,1,0.28
#eef0f3,--x-n96,neutral,1,1.2
#f5f6f7,--x-n96,neutral,1,0.92
#5067bb,--x-n50,brand→neutral,1,4.38
#28715e,--x-pine-44,pine,1,1.1
#e9f7f2,--x-pine-96,pine,1,0.19
#a15d52,--x-cinnabar-44,cinnabar,1,2.96
#fbefed,--x-cinnabar-96,cinnabar,1,1.73
#a0a6af,--x-n68,neutral,1,0.13
#c7565c,--x-cinnabar-51,cinnabar,1,0.47
#8d95a1,--x-n60,neutral,1,1.66
#5e8a7e,--x-n50,neutral,1,4.09
#4d5663,--x-n41,neutral,1,4.77
#526dcb,--x-pine-51,brand→pine,1,2.67
#dde2e8,--x-n88,neutral,1,1.87
#4f7d71,--x-n50,neutral,1,1.1
#bfc9d5,--x-n78,neutral,1,2.88
#6b82d9,--x-pine-58,brand→pine,1,1.97
#65717f,--x-n50,neutral,1,2.89
#a0a7b1,--x-n68,neutral,1,0.2
#4f69cb,--x-pine-44,brand→pine,1,3.11
#999fa8,--x-n68,neutral,1,2.76
#747d89,--x-n50,neutral,1,2.04
#b5d2ca,--x-n78,neutral,1,4.27
#eef7f4,--x-pine-96,pine,1,0.59
#999fa9,--x-n68,neutral,1,2.73
#29333f,--x-n20,neutral,1,0.95
#949ba5,--x-n60,neutral,1,3.95
#68717d,--x-n50,neutral,1,2.73
#a9cec3,--x-n78,neutral,1,2.25
#6379ce,--x-pine-51,brand→pine,1,1.73
#478d7a,--x-pine-51,pine,1,2.83
#8b6eb1,--x-n50,brand→neutral,1,1.62
#858d98,--x-n60,neutral,1,1.44
#9fe6cc,--x-pine-90,pine,1,3.81
#496d78,--x-n41,neutral,1,2.8
#a2e6cf,--x-pine-90,pine,1,3.59
#458f8d,--x-n60,brand→neutral,1,4.86
#2f506d,--x-n30,brand→neutral,1,2.75
#71875d,--x-n50,neutral,1,3.62
#3d5b58,--x-n41,neutral,1,4.69
#9a795e,--x-n50,neutral,1,3.33
#5d526d,--x-n41,neutral,1,4.15
#806b9b,--x-n50,neutral,1,1.16
#4b617e,--x-n41,neutral,1,0.52
#e0e4ea,--x-n88,neutral,1,2.65
#394452,--x-n30,neutral,1,1.64
#9fcfc2,--x-pine-74,pine,1,5.42
#9eadeb,--x-pine-74,brand→pine,1,2.47
#d5abd9,--x-n78,brand→neutral,1,2.66
#69bba5,--x-pine-74,pine,1,3.78
#738be4,--x-pine-58,brand→pine,1,1.47
#bf83ce,--x-n60,brand→neutral,1,3.39
#70808c,--x-n50,neutral,1,2.7
#4969cf,--x-pine-44,brand→pine,1,3.04
#6e60d3,--x-pine-44,brand→pine,1,3.5
#6779cf,--x-pine-51,brand→pine,1,2.04
#27313f,--x-n20,neutral,1,0.12
#323b48,--x-n20,neutral,1,4.69
#949ba6,--x-n60,neutral,1,3.98
#707a87,--x-n50,neutral,1,0.81
#dbe0e8,--x-n88,neutral,1,1.22
#6372bc,--x-n50,brand→neutral,1,0.13
#7f8792,--x-n60,neutral,1,3.76
#959ca7,--x-n68,neutral,1,3.91
#183337,--x-n20,brand→neutral,1,0.49
#385a55,--x-n41,neutral,1,5.4
#555078,--x-n41,neutral,1,4.98
#b4e0d0,--x-pine-90,pine,1,4.19
#b9edda,--x-pine-90,pine,1,0.15
#929aa5,--x-n60,neutral,1,3.53
#68717e,--x-n50,neutral,1,2.69
#747d8a,--x-n50,neutral,1,2.07
#aab6e5,--x-pine-74,brand→pine,1,0.48
#e0e4e9,--x-n88,neutral,1,2.63
#707986,--x-n50,neutral,1,0.49
#2f7564,--x-n41,brand→neutral,1,3.57
#a9d0c4,--x-n78,neutral,1,2.82
#eef8f5,--x-pine-96,pine,1,0.87
#7284db,--x-pine-58,brand→pine,1,0.9
#e6e8ec,--x-n96,neutral,1,3.97
#4852a8,--x-n41,brand→neutral,1,2.74
#9aa9ff,--x-pine-74,brand→pine,1,2.94
#6273c8,--x-pine-51,brand→pine,1,0.26
#a8b3ef,--x-pine-74,brand→pine,1,0.07
#cbd3f6,--x-pine-90,brand→pine,1,5.02
#e5e9f2,--x-n96,brand→neutral,1,3.63
#8092ef,--x-pine-58,brand→pine,1,4.67
#d7dce8,--x-n88,neutral,1,0.09
#cbd2ee,--x-pine-90,brand→pine,1,5.52
#727d90,--x-n50,neutral,1,2.12
#c9d0dd,--x-n88,neutral,1,4.48
#ccd3df,--x-n88,neutral,1,3.44
#e4e9ff,--x-pine-90,brand→pine,1,2.59
#638069,--x-n50,neutral,1,0.81
#d7dcf2,--x-pine-90,brand→pine,1,1.99
#b42318,--x-cinnabar-44,cinnabar,1,4.5
#e0f2fe,--x-pine-96,brand→pine,1,1.38
#075985,--x-pine-30,brand→pine,1,5.91
#f1f5f9,--x-n96,brand→neutral,1,0.43
#475569,--x-n41,neutral,1,5.31
#fef3c7,--x-warn-96,warn,1,0.09
#fffbeb,--x-warn-96,warn,1,2.92
#fde68a,--x-warn-90,warn,1,1.48
#e8edf7,--x-pine-96,brand→pine,1,2.27
#f3f6ff,--x-pine-96,brand→pine,1,0.99
#e1e7f5,--x-pine-90,brand→pine,1,1.59
#e9edff,--x-pine-96,brand→pine,1,1.98
#e9f8ef,--x-pine-96,pine,1,0.37
#b7ebc9,--x-pine-90,pine,1,1.2
#188245,--x-pine-51,pine,1,3.24
#fff0f0,--x-cinnabar-96,cinnabar,1,2.36
#ffc7c7,--x-cinnabar-90,cinnabar,1,3.37
#c84747,--x-cinnabar-51,cinnabar,1,2.32
#cbd5ff,--x-pine-90,brand→pine,1,4.22
#e5eaf5,--x-n96,brand→neutral,1,3.3
#86efac,--x-pine-90,pine,1,3.09
#d4d4dd,--x-n88,neutral,1,2.64
#ffedd5,--x-warn-96,warn,1,1.03
#1f35a8,--x-pine-30,brand→pine,1,1.3
#f8faff,--x-pine-96,brand→pine,1,2.34
#98a1b3,--x-n68,neutral,1,1.96
#e4e8f0,--x-n96,neutral,1,4.01
#eef1f7,--x-n96,brand→neutral,1,0.84
#f0f0f5,--x-n96,neutral,1,1.0
#94a3b8,--x-n68,neutral,1,1.55
#3b82f6,--x-pine-58,brand→pine,1,2.53
#a855f7,--x-pine-51,brand→pine,1,2.55
#f2f2f7,--x-n96,neutral,1,0.3
